ts,model,label,dataset,engine,unparsable,n_error,n_input_error,thinking,max_tokens,limit,smoke,n,n_pos_gold,n_pred_unsafe,precision,recall,f1,n_missing
2026-09-23 20:58:01,sing-guard-8b,SingGuard-8B,vlguard,vllm,0,0,0,fast-slow,1024,,False,1000,442,354,0.9944,0.7964,0.8844,0
2026-09-23 21:15:26,sing-guard-8b,SingGuard-8B,jailbreakv,vllm,0,0,0,fast-slow,1024,,False,1000,1000,792,1.0,0.792,0.8839,0
2026-09-23 21:23:40,sing-guard-8b,SingGuard-8B,spa-vl,vllm,0,0,0,fast-slow,1024,,False,530,265,394,0.5787,0.8604,0.692,0
2026-09-23 21:43:21,sing-guard-8b,SingGuard-8B,vlsbench,vllm,0,0,0,fast-slow,1024,,False,1000,1000,540,1.0,0.54,0.7013,0
2026-09-23 21:57:00,sing-guard-8b,SingGuard-8B,mm-safety,vllm,0,0,0,fast-slow,1024,,False,758,758,344,1.0,0.4538,0.6243,0
2026-09-23 22:19:00,sing-guard-8b,SingGuard-8B,beavertails-v,vllm,0,0,0,fast-slow,1024,,False,1000,372,318,0.8742,0.7473,0.8058,0
2026-09-23 22:30:24,sing-guard-4b,SingGuard-4B,vlguard,vllm,0,0,0,fast-slow,1024,,False,1000,442,375,0.9947,0.8439,0.9131,0
2026-09-23 22:41:11,sing-guard-4b,SingGuard-4B,jailbreakv,vllm,0,0,0,fast-slow,1024,,False,1000,1000,801,1.0,0.801,0.8895,0
2026-09-23 22:46:28,sing-guard-4b,SingGuard-4B,spa-vl,vllm,0,0,0,fast-slow,1024,,False,530,265,412,0.5752,0.8943,0.7001,0
2026-09-23 22:59:51,sing-guard-4b,SingGuard-4B,vlsbench,vllm,0,0,0,fast-slow,1024,,False,1000,1000,770,1.0,0.77,0.8701,0
2026-09-23 23:09:09,sing-guard-4b,SingGuard-4B,mm-safety,vllm,0,0,0,fast-slow,1024,,False,758,758,337,1.0,0.4446,0.6155,0
2026-09-23 23:24:09,sing-guard-4b,SingGuard-4B,beavertails-v,vllm,0,0,0,fast-slow,1024,,False,1000,372,372,0.8387,0.8387,0.8387,0
